 Card MLP-R 12  37  45  44  16  49  27  26  18  56  16  15
 Card SVM-R 3.5 13 49  42  5.5 19  19  15  5.0  18  26  22
 RW MLP-R 3.3 12  53  49  6.0 21  15  14  4.6  17  35  30
 RW SVM-R 2.6 10  35  33  3.1  12  22  22  2.9  11  27  25
 WW  MLP-R 8.0 27  39  35  11  34  20  17  9.2  29  30  28
 WW  SVM-R 2.2 8.5  47  45  2.8  11  34  32  3.4  13  19  19
 Card MLP-C 17  54  48  44  20  62  40  36  33  97  0)  0
 Card SVM-C 8.7 29  43  38  10  33  33  29  14  43  8.7 8.3
 Pend MLP-C 46 153 31  28  48 143 29  33  60  194 10 9.0
 Pend SVM-C 97 287 22  21  97 287 22  21  121 357 2.2 1.8
 RW MLP-C 8.0 27  55  50  9.3 30  47  43  18  53  0  0
 RW SVM-C 7.6 26  68  65  16  50  32  31  15  49  35  33
 WW MLP-C  13  42  57  57  24  73  23  26  16  52  47  48
 WW SVM-C  11  36  61  59  21  65  26  25  15  46  49  47
